lat,lon,cell_area_km2,population_density,population_density_norm,population_est_count,users_cell_count,users_cell_mean,users_decay1km,users_decay1km_norm,demand_blended,dist_to_store_km,whitespace_norm,k_used,competitors_decay,transit_weighted_m_100,transit_weighted_m_250,transit_weighted_m_500,transit_weighted_norm,parking_capacity_m_100,parking_capacity_m_200,parking_capacity_m_300,parking_capacity_norm,competitor_count_m_500,competitor_count_m_1000,competitor_count_m_1500,competition_score,store_count_m_500,store_count_m_1000,store_count_m_1500,brand_exclusion_count_m_500,brand_exclusion_within_m_500,default_score,cell_id
50.587083315757056,30.36958321431024,0.5471059545018269,43.21009063720703,0.003504767179143684,23.640497882179606,0,,,,,9.282042784743211,0.6295175804369935,10,0.0031219061203891863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.369583_50.587083
50.587083315757056,30.37791654761024,0.5471030076410703,43.30125427246094,0.0035130591434317042,23.690246447094125,0,,,,,9.031939100023703,0.6124543604989524,10,0.00203859607905031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.377917_50.587083
50.587083315757056,30.38624988091024,0.5471000701373263,54.03702163696289,0.004489551572052012,29.563658327594617,0,,,,,8.71356135360767,0.5907331710787836,10,0.0013921230364924713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.386250_50.587083
50.587083315757056,30.394583214210243,0.5470971419898917,94.85841369628906,0.008202540026279978,51.89676702693454,0,,,,,8.424345746390856,0.5710015564846639,10,0.0011775030399509936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.394583_50.587083
50.587083315757056,30.402916547510245,0.5470942231977198,262.69927978515625,0.02346882974589305,143.72125840866053,0,,,,,8.167390852898912,0.5534709156757285,10,0.0014339495481726838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.402917_50.587083
50.587083315757056,30.41124988081024,0.547091313761046,604.28955078125,0.054538831730191716,330.6015642289864,0,,,,,7.9458270673806775,0.5383548184985016,10,0.0023384519290344597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.411250_50.587083
50.587083315757056,30.41958321411024,0.5470884136796826,1429.690185546875,0.12961473856215944,782.166935664251,0,,,,,7.762685400160567,0.5258600543725716,10,0.004296957304221085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.419583_50.587083
50.587083315757056,30.42791654741024,0.5470855229552579,1885.68212890625,0.17109036532309257,1031.6293936200598,0,,,,,7.620736440250032,0.5161756455816894,10,0.008010912874886776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.427917_50.587083
50.587083315757056,30.43624988071024,0.5470826415859336,2454.7412109375,0.22285023177460606,1342.946306089541,0,,,,,7.522312518230618,0.509460714410382,10,0.014371341497404518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.436250_50.587083
50.587083315757056,30.444583214010244,0.5470797695718709,3009.837158203125,0.27334005437033315,1646.6210189586202,0,,,,,7.4574796782158,0.5050375208471951,10,0.023811666321466547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.444583_50.587083
50.587083315757056,30.45291654731024,0.547076906913295,3076.85302734375,0.2794356120134328,1683.2752372260268,0,,,,,7.166001594630277,0.4851515497431855,10,0.034799708328460625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.452917_50.587083
50.587083315757056,30.461249880610243,0.5470740536099744,2903.087646484375,0.2636304466252039,1588.2039267472474,0,,,,,6.912469166473301,0.4678544052092304,10,0.04267746828221644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.461250_50.587083
50.587083315757056,30.719583212910244,0.5469902412739577,182.5677032470703,0.01618030763786211,99.8627520479473,0,,,,,10.010654720357879,0.6792268269073838,10,1.4456285628592178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.719583_50.587083
50.587083315757056,30.72791654621024,0.5469876873208077,117.14410400390624,0.010229577974579884,64.07638253236485,0,,,,,10.472520023243,0.7107373952291468,10,7.770423324808889e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.727917_50.587083
50.587083315757056,30.736249879510243,0.546985142722397,88.84833526611328,0.007655881749957208,48.59871934618235,0,,,,,10.94656192730786,0.7430787071053708,10,4.098273711058304e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,30.736250_50.587083
