lat,lon,type,line_id,weight
50.3701101,30.4573256,other,,1.0
50.3701101,30.4573256,other,,1.0
50.3644052,30.4492166,other,,1.0
50.439942,30.4981406,other,,1.0
50.4375278,30.5009931,other,,1.0
50.4353173,30.50347,other,,1.0
50.434017,30.5102058,other,,1.0
50.4359821,30.5148064,other,,1.0
50.4363681,30.5077803,other,,1.0
50.4393801,30.5023952,other,,1.0
50.3828099,30.4518907,other,,1.0
50.3801559,30.4552649,other,,1.0
50.3792033,30.4561448,other,,1.0
50.378527,30.4578684,other,,1.0
50.3787937,30.4644285,other,,1.0
50.3787937,30.4644285,other,,1.0
50.3787556,30.4587054,other,,1.0
50.3791578,30.4573008,other,,1.0
50.3809321,30.4551342,other,,1.0
50.3820422,30.4532249,other,,1.0
50.355019,30.4878667,other,,1.0
50.3554278,30.4860188,other,,1.0
50.3561752,30.4826626,other,,1.0
50.3573691,30.4782697,other,,1.0
50.3586337,30.4741325,other,,1.0
50.3608936,30.4718952,other,,1.0
50.3646758,30.4669036,other,,1.0
50.3666232,30.4638069,other,,1.0
50.369678,30.4612506,other,,1.0
50.3665383,30.463715,other,,1.0
50.364587,30.4658393,other,,1.0
50.3607408,30.4707797,other,,1.0
50.3576431,30.4738083,other,,1.0
50.3563101,30.4762689,other,,1.0
50.3551836,30.4822867,other,,1.0
50.3543084,30.4882533,other,,1.0
50.3867612,30.458456,other,,1.0
50.4273098,30.5135716,other,,1.0
50.4156656,30.5213462,other,,1.0
50.4245888,30.5150527,other,,1.0
50.4202784,30.5182023,other,,1.0
50.414455,30.521963,other,,1.0
50.3832446,30.4606662,other,,1.0
50.3872252,30.4589887,other,,1.0
50.4075105,30.5164896,other,,1.0
50.407766,30.5117731,other,,1.0
50.4080794,30.5056913,other,,1.0
50.4082139,30.50037,other,,1.0
50.4077887,30.5010527,other,,1.0
50.407475,30.5067311,other,,1.0
50.4069336,30.5163873,other,,1.0
50.4048651,30.5166249,other,,1.0
50.3934682,30.4882871,other,,1.0
50.3929847,30.4790819,other,,1.0
50.3918399,30.4691151,other,,1.0
50.3925909,30.4756945,other,,1.0
50.3929577,30.4791182,other,,1.0
50.3909797,30.466138,other,,1.0
50.3934072,30.484358,other,,1.0
50.3934549,30.490207,other,,1.0
50.4180433,30.5198564,other,,1.0
50.3895805,30.4636922,other,,1.0
50.3895994,30.4636736,other,,1.0
50.4277579,30.5110702,other,,1.0
50.4277579,30.5110702,other,,1.0
50.4290252,30.513496,other,,1.0
50.3983212,30.5138495,other,,1.0
50.398513,30.5152763,other,,1.0
50.398513,30.5152763,other,,1.0
50.392981,30.5225038,other,,1.0
50.392981,30.5225038,other,,1.0
50.3904713,30.5266315,other,,1.0
50.3904713,30.5266315,other,,1.0
50.389898,30.526449,other,,1.0
50.387468,30.51726,other,,1.0
50.38754,30.517831,other,,1.0
50.38736,30.510795,other,,1.0
50.387359,30.511033,other,,1.0
50.384194,30.504643,other,,1.0
50.384382,30.505056,other,,1.0
50.383591,30.501313,other,,1.0
50.383365,30.499107,other,,1.0
50.3832,30.495633,other,,1.0
50.383331,30.495155,other,,1.0
50.382997,30.491755,other,,1.0
50.383113,30.489742,other,,1.0
50.383934,30.486479,other,,1.0
50.3918432,30.4688108,other,,1.0
50.3961105,30.4892465,other,,1.0
50.3763603,30.4672236,other,,1.0
50.3766313,30.4680695,other,,1.0
50.3671358,30.4532439,other,,1.0
50.3662741,30.4527077,other,,1.0
50.37786,30.467328,other,,1.0
50.4340103,30.5123707,other,,1.0
50.4066713,30.5180584,other,,1.0
50.4066713,30.5180584,other,,1.0
50.403895,30.5263447,other,,1.0
50.408196,30.4938147,other,,1.0
50.408196,30.4938147,other,,1.0
50.4259771,30.6321673,other,,1.0
50.42467,30.6259281,other,,1.0
50.4202779,30.619522,other,,1.0
50.4169676,30.6222272,other,,1.0
50.4066313,30.6218954,other,,1.0
50.4052677,30.6221756,other,,1.0
50.4021478,30.619405,other,,1.0
50.403922,30.6223899,other,,1.0
50.402046,30.6206737,other,,1.0
50.4185667,30.6227677,other,,1.0
50.4225522,30.6214304,other,,1.0
50.4245305,30.6257875,other,,1.0
50.4258322,30.6303427,other,,1.0
50.42737,30.635996,other,,1.0
50.4090372,30.6266949,other,,1.0
50.4090787,30.6275967,other,,1.0
50.42726,30.636013,other,,1.0
50.4065099,30.6212797,other,,1.0
50.401099,30.681152,other,,1.0
50.40387,30.685793,other,,1.0
50.400686,30.680813,other,,1.0
50.398228,30.677466,other,,1.0
50.394373,30.672005,other,,1.0
50.394126,30.671392,other,,1.0
50.394083,30.671345,other,,1.0
50.39916,30.678469,other,,1.0
50.3877588,30.6037171,other,,1.0
50.3827158,30.6043247,other,,1.0
50.3816312,30.5959954,other,,1.0
50.3816312,30.5959954,other,,1.0
50.3785677,30.5930753,other,,1.0
50.3785677,30.5930753,other,,1.0
50.3751061,30.5934138,other,,1.0
50.4060593,30.6161099,other,,1.0
50.3877807,30.6035866,other,,1.0
50.4023032,30.653833,other,,1.0
50.4062579,30.6555939,other,,1.0
50.407902,30.6583347,other,,1.0
50.4148026,30.6622289,other,,1.0
50.4076626685,30.6662914758,other,,1.0
50.41971607,30.6544923674,other,,1.0
50.418598181,30.6557985016,other,,1.0
50.416431,30.6589416,other,,1.0
50.416828,30.6586116,other,,1.0
50.4129124,30.6650495,other,,1.0
50.41485915,30.6617575708,other,,1.0
50.4091118938,30.6689259312,other,,1.0
50.4078419156,30.6657570713,other,,1.0
50.4082187903,30.6601242505,other,,1.0
50.4072227434,30.6559593581,other,,1.0
50.4221844375,30.650446476,other,,1.0
50.4248444362,30.6436917857,other,,1.0
50.4267789788,30.6378998405,other,,1.0
50.4267666671,30.6373532014,other,,1.0
50.4243867368,30.6441099274,other,,1.0
50.4220262289,30.6499747635,other,,1.0
50.4128643652,30.6655426448,other,,1.0
50.4014065664,30.6524725759,other,,1.0
50.3952777387,30.6529507959,other,,1.0
50.3960746515,30.6533542219,other,,1.0
50.398333,30.652563,other,,1.0
50.3947514324,30.6493247406,other,,1.0
50.3951691874,30.6480581805,other,,1.0
50.3944861179,30.6433679402,other,,1.0
50.3956213855,30.6425348622,other,,1.0
50.3953853762,30.6423238991,other,,1.0
50.3977481826,30.6414284687,other,,1.0
50.3972784084,30.6395590007,other,,1.0
50.3940461874,30.6352090704,other,,1.0
50.3925627043,30.6366538252,other,,1.0
50.393812479,30.6514295788,other,,1.0
50.3970982085,30.6382040873,other,,1.0
50.3945871836,30.6362824391,other,,1.0
50.389806646,30.6368540869,other,,1.0
50.4281306967,30.6391311375,other,,1.0
50.4308680323,30.6487800726,other,,1.0
50.4312497414,30.6526125892,other,,1.0
50.4304295338,30.6571158455,other,,1.0
50.4294440714,30.6625550674,other,,1.0
50.4284461781,30.6679797212,other,,1.0
50.4272248316,30.6752327841,other,,1.0
50.4264802884,30.6794252731,other,,1.0
50.4257428639,30.683400241,other,,1.0
50.4250153868,30.6873671515,other,,1.0
50.4216296606,30.7046172266,other,,1.0
50.4240484762,30.693075161,other,,1.0
50.4243868054,30.6922662006,other,,1.0
50.419693283,30.7075942645,other,,1.0
50.4165195125,30.7070135597,other,,1.0
50.4118566097,30.7004549432,other,,1.0
50.4094453349,30.6956205036,other,,1.0
50.4284581149,30.639200477,other,,1.0
50.4312525481,30.6541765307,other,,1.0
50.4295795483,30.663504867,other,,1.0
50.4288318248,30.6679523384,other,,1.0
50.4266154692,30.6803463324,other,,1.0
50.4259845636,30.6839348116,other,,1.0
50.4251707705,30.6883567695,other,,1.0
50.4213941468,30.7054407033,other,,1.0
50.4200732208,30.7076800018,other,,1.0
50.4160350735,30.7068327333,other,,1.0
50.4091034523,30.6958050698,other,,1.0
50.3505753867,30.6151638323,other,,1.0
50.3273143991,30.6427703383,other,,1.0
50.3194722905,30.6469315435,other,,1.0
50.3940472729,30.6041339579,other,,1.0
50.3823928048,30.6047261106,other,,1.0
50.3731480908,30.6071514875,other,,1.0
50.3780040109,30.6058547346,other,,1.0
50.3687851703,30.6089766602,other,,1.0
50.3633578559,30.6057885965,other,,1.0
50.3580208221,30.6079137013,other,,1.0
50.3545197477,30.6093020012,other,,1.0
50.3416322397,30.6223810052,other,,1.0
50.3429729171,30.6219094375,other,,1.0
50.3293816936,30.6330962465,other,,1.0
50.3296543836,30.6325112159,other,,1.0
50.3477790571,30.617277916,other,,1.0
50.3480482734,30.6173665615,other,,1.0
50.3399500344,30.6233288687,other,,1.0
50.3404249123,30.6232685084,other,,1.0
50.3497259809,30.6164013133,other,,1.0
50.3547328027,30.6092862719,other,,1.0
50.35801056,30.6081881502,other,,1.0
50.363414971,30.6060546342,other,,1.0
50.3681890388,30.608645053,other,,1.0
50.3730290723,30.6073297969,other,,1.0
50.3776117662,30.6061773121,other,,1.0
50.3830952148,30.604838183,other,,1.0
50.3266968344,30.6431372236,other,,1.0
50.4018115481,30.6155829896,other,,1.0
50.4008253893,30.6149356698,other,,1.0
50.4065991231,30.6110953268,other,,1.0
50.4059661197,30.6118654028,other,,1.0
50.4098039622,30.6014062277,other,,1.0
50.4096950376,30.6009011443,other,,1.0
50.40056008,30.6864557385,other,,1.0
50.3960436117,30.6947147295,other,,1.0
50.3922994999,30.6963912236,other,,1.0
50.3902573869,30.6939678755,other,,1.0
50.387679343,30.6909257934,other,,1.0
50.3835486534,30.6963626698,other,,1.0
50.3787017402,30.7035002946,other,,1.0
50.4039442463,30.6803096333,other,,1.0
50.3814537115,30.6993660194,other,,1.0
50.3773587864,30.7055212318,other,,1.0
50.3740647203,30.7099692338,other,,1.0
50.3700799421,30.7054730014,other,,1.0
50.3682454189,30.7029230666,other,,1.0
50.3627713147,30.6903484144,other,,1.0
50.3636715138,30.6858276411,other,,1.0
50.3632303541,30.6835940385,other,,1.0
50.3627796395,30.6857109941,other,,1.0
50.3680661726,30.7030158393,other,,1.0
50.3705491502,30.7063931578,other,,1.0
50.3670806769,30.6993404872,other,,1.0
50.3653446186,30.6961180825,other,,1.0
50.3740649076,30.7103333871,other,,1.0
50.3764882031,30.7063973326,other,,1.0
50.3781123707,30.7039769799,other,,1.0
50.3807644383,30.7000738199,other,,1.0
50.383659839,30.695672983,other,,1.0
50.3874925634,30.6903861507,other,,1.0
50.3900824924,30.6934442268,other,,1.0
50.392563,30.696398,other,,1.0
50.3959258705,30.6941868698,other,,1.0
50.4003023788,30.6864578915,other,,1.0
50.4091608062,30.6553002458,other,,1.0
50.410886181,30.6521467307,other,,1.0
50.4153726408,30.6486784978,other,,1.0
50.4142671483,30.6468530903,other,,1.0
50.4128285186,30.6435175784,other,,1.0
50.4102778105,30.6335512222,other,,1.0
50.4114774616,30.6275551595,other,,1.0
50.4172217903,30.6206549419,other,,1.0
50.4151139924,30.6138089189,other,,1.0
50.4123741685,30.6032904143,other,,1.0
50.410227159,30.6524895185,other,,1.0
50.4166737054,30.6228807458,other,,1.0
50.4148105848,30.6497414605,other,,1.0
50.4138678936,30.6473088028,other,,1.0
50.4124653662,30.6438456633,other,,1.0
50.4111632515,30.638757204,other,,1.0
50.4098155582,30.6335122641,other,,1.0
50.412097556,30.6256308043,other,,1.0
50.4159637227,30.6175180395,other,,1.0
50.4141154685,30.6114087041,other,,1.0
50.4164903619,30.6092009748,other,,1.0
50.41568,30.604343,other,,1.0
50.414825,30.60086,other,,1.0
50.4112842796,30.637324168,other,,1.0
50.416872,30.595745,other,,1.0
50.4088868213,30.629895675,other,,1.0
50.4141067372,30.6114232165,other,,1.0
50.4155965825,30.6250373554,other,,1.0
50.4142567529,30.6243411488,other,,1.0
50.394024,30.604149,other,,1.0
50.394464,30.6039,other,,1.0
50.393128,30.603448,other,,1.0
50.3967042776,30.6243974237,other,,1.0
50.3969714719,30.6237943023,other,,1.0
50.3981067082,30.6339279343,other,,1.0
50.3985632153,30.6338286925,other,,1.0
50.3999039978,30.6425050568,other,,1.0
50.3947108708,30.6084892573,other,,1.0
50.39438,30.609504,other,,1.0
50.3953438582,30.615875023,other,,1.0
50.395743572,30.6156990971,other,,1.0
50.4102787803,30.6466361607,other,,1.0
50.4062389612,30.6491078783,other,,1.0
50.4031237777,30.6510259731,other,,1.0
50.4019392691,30.633865673,other,,1.0
50.4076311061,30.6396535924,other,,1.0
50.402995308,30.6364544099,other,,1.0
50.431288724,30.6492489548,other,,1.0
50.4305368853,30.6476135399,other,,1.0
50.4287562287,30.6529689181,other,,1.0
50.4292093189,30.6522023901,other,,1.0
50.4256306817,30.654852198,other,,1.0
50.4259195441,30.6541955234,other,,1.0
50.423161335,30.6562625272,other,,1.0
50.4235489274,30.6555635527,other,,1.0
50.4209128381,30.6579928979,other,,1.0
50.4217459095,30.6573721949,other,,1.0
50.4187645459,30.654634802,other,,1.0
50.4195433614,30.6556813086,other,,1.0
50.4157756418,30.6496837295,other,,1.0
50.4151592819,30.6489080168,other,,1.0
50.4139783791,30.6469294906,other,,1.0
50.4138813819,30.646838966,other,,1.0
50.4126409178,30.6435477042,other,,1.0
50.4126046591,30.6438568513,other,,1.0
50.4113361229,30.6383284796,other,,1.0
50.4110033775,30.6375931996,other,,1.0
50.410078432,30.6335928479,other,,1.0
50.409958499,30.6334780186,other,,1.0
50.4091078785,30.6297509704,other,,1.0
50.4081217187,30.6293948935,other,,1.0
50.4047901469,30.6310930635,other,,1.0
50.4045226044,30.6314551617,other,,1.0
50.40219,30.632628,other,,1.0
50.4000753942,30.6326098956,other,,1.0
50.4305809354,30.6579827412,other,,1.0
50.4287461455,30.6677515658,other,,1.0
50.4286369806,30.6676870742,other,,1.0
50.4273122605,30.676457519,other,,1.0
50.427221,30.675227,other,,1.0
50.4271977152,30.6752692506,other,,1.0
50.4247791271,30.6918407135,other,,1.0
50.4247791271,30.6918407135,other,,1.0
50.4208932119,30.6591116665,other,,1.0
50.4181296379,30.6630563004,other,,1.0
50.4182319181,30.6635243433,other,,1.0
50.416101644,30.6663153776,other,,1.0
50.4159391008,30.6672107084,other,,1.0
50.4136853065,30.668205132,other,,1.0
50.414103632,30.6678492801,other,,1.0
50.411286653,30.6720283371,other,,1.0
50.4111802896,30.6725809248,other,,1.0
50.4086917908,30.6766267583,other,,1.0
50.4087848623,30.6768145225,other,,1.0
50.4057589318,30.6821658246,other,,1.0
50.4058351197,30.6816177478,other,,1.0
50.4042693539,30.6852515116,other,,1.0
50.4042693539,30.6852515116,other,,1.0
50.4298018837,30.6447530277,other,,1.0
50.4301950753,30.6450255306,other,,1.0
50.4300414439,30.6455486889,other,,1.0
50.4299486706,30.6441723613,other,,1.0
50.4057496357,30.6133609411,other,,1.0
50.4144529366,30.6450726421,other,,1.0
50.4198578883,30.6417902035,other,,1.0
50.4063794342,30.6499750521,other,,1.0
50.4118946482,30.6457042751,other,,1.0
50.4157537046,30.6433288297,other,,1.0
50.4197452286,30.6411980112,other,,1.0
50.4224244765,30.641368117,other,,1.0
50.4230640749,30.6439723907,other,,1.0
50.4105507401,30.6474402836,other,,1.0
50.4008487379,30.6516641756,other,,1.0
50.4023600046,30.6518144636,other,,1.0
50.4233620267,30.6980367172,other,,1.0
50.4165139297,30.6438888097,other,,1.0
50.4292958937,30.652579941,other,,1.0
50.4188273236,30.5929063822,other,,1.0
50.4750346439,30.6196774891,other,,1.0
50.4654863493,30.6261396979,other,,1.0
50.4788434346,30.6175513517,other,,1.0
50.4777045503,30.6178513051,other,,1.0
50.4589359102,30.6312309026,other,,1.0
50.4627157461,30.6288853355,other,,1.0
50.4652393268,30.6271135953,other,,1.0
50.4706276525,30.6233414869,other,,1.0
50.4745305375,30.6204879384,other,,1.0
50.5166454539,30.6058372908,other,,1.0
50.5131949384,30.6010911485,other,,1.0
50.5152159614,30.6039921001,other,,1.0
50.5172537074,30.6031828021,other,,1.0
50.520651,30.596825,other,,1.0
50.531071854,30.5989731972,other,,1.0
50.528383,30.5861363,other,,1.0
50.509922,30.586191,other,,1.0
50.528344,30.586348,other,,1.0
50.5137067964,30.5830211729,other,,1.0
50.5250954533,30.5848284412,other,,1.0
50.5255162391,30.584815412,other,,1.0
50.5181800212,30.5850393792,other,,1.0
50.5172204353,30.5847263906,other,,1.0
50.5118396583,30.5810266395,other,,1.0
50.511808,30.581002,other,,1.0
50.528383,30.5861363,other,,1.0
50.5138185809,30.5829488672,other,,1.0
50.528344,30.586348,other,,1.0
50.5222126925,30.5979027344,other,,1.0
50.519758,30.596597,other,,1.0
50.5289901861,30.5935377663,other,,1.0
50.5292877024,30.5928965362,other,,1.0
50.5174160597,30.6020291272,other,,1.0
50.5152128002,30.6039892062,other,,1.0
50.5131863334,30.601067246,other,,1.0
50.5108551961,30.5955344944,other,,1.0
50.5112055811,30.5971054464,other,,1.0
50.4704465495,30.657233584,other,,1.0
50.4709707119,30.6605905376,other,,1.0
50.4721572556,30.6648747684,other,,1.0
50.4735370718,30.6699278915,other,,1.0
50.4755465425,30.6759743772,other,,1.0
50.4763438941,30.6697704934,other,,1.0
50.4800654698,30.6693321129,other,,1.0
50.4814940119,30.6693462383,other,,1.0
50.4840571323,30.6693414351,other,,1.0
50.4853966576,30.6691439428,other,,1.0
50.4840177732,30.6691557583,other,,1.0
50.481770503,30.6691197617,other,,1.0
50.4799068571,30.6691130572,other,,1.0
50.4757689391,30.6698741896,other,,1.0
50.4737229112,30.6713069606,other,,1.0
50.4724272476,30.6715479036,other,,1.0
50.474199,30.671233,other,,1.0
50.4665849954,30.6480758833,other,,1.0
50.4657092415,30.6422946137,other,,1.0
50.4655448499,30.6407376892,other,,1.0
50.4647854423,30.636197199,other,,1.0
50.4682794876,30.6338213384,other,,1.0
50.4735648922,30.6301718682,other,,1.0
50.4773768692,30.6276044883,other,,1.0
50.4836787837,30.6336421428,other,,1.0
50.4870267522,30.6313310142,other,,1.0
50.4889037304,30.632086072,other,,1.0
50.488605755,30.6377709046,other,,1.0
50.4844774219,30.6397126524,other,,1.0
50.4853864784,30.6429291457,other,,1.0
50.479505719,30.6258040903,other,,1.0
50.4763622529,30.6279703754,other,,1.0
50.4733958958,30.6300550755,other,,1.0
50.4711101482,30.6315302439,other,,1.0
50.4690885103,30.632907204,other,,1.0
50.4642438399,30.6369204698,other,,1.0
50.480619395,30.6267487549,other,,1.0
50.4873525331,30.6418360647,other,,1.0
50.4992642667,30.6213858843,other,,1.0
50.498475,30.620629,other,,1.0
50.5028725007,30.6241359034,other,,1.0
50.4866536008,30.6441647188,other,,1.0
50.4878760511,30.6413173491,other,,1.0
50.4888746611,30.637510154,other,,1.0
50.4891613608,30.6318635808,other,,1.0
50.4873451647,30.6308503369,other,,1.0
50.466588594,30.648062129,other,,1.0
50.4829701106,30.6353071766,other,,1.0
50.4843556395,30.6402756271,other,,1.0
50.5069423201,30.585763723,other,,1.0
50.5084168303,30.588988027,other,,1.0
50.5103577878,30.5945918011,other,,1.0
50.503013084,30.5843089743,other,,1.0
50.5004887295,30.5892020836,other,,1.0
50.5206007426,30.6088172848,other,,1.0
50.5303706176,30.6087003155,other,,1.0
50.5243589938,30.6096958679,other,,1.0
50.5229092642,30.6092207135,other,,1.0
50.5199223157,30.6081592227,other,,1.0
50.5017420079,30.5850587336,other,,1.0
50.5003406034,30.5888404655,other,,1.0
50.4974526958,30.5892669902,other,,1.0
50.5083137762,30.588109291,other,,1.0
50.5066806196,30.5850201983,other,,1.0
50.495652,30.580478,other,,1.0
50.5098862473,30.5926731555,other,,1.0
50.5308080057,30.6101813165,other,,1.0
50.513213,30.60108,other,,1.0
50.508606,30.585788,other,,1.0
50.499813,30.57588,other,,1.0
50.4980573408,30.5760159188,other,,1.0
50.5000120001,30.5770072923,other,,1.0
50.526506858,30.5969672962,other,,1.0
50.5248241644,30.6011012554,other,,1.0
50.5131119269,30.6124326954,other,,1.0
50.5142289222,30.6097623372,other,,1.0
50.513335046,30.6127585045,other,,1.0
50.5109351764,30.6176703204,other,,1.0
50.5093679774,30.6213238875,other,,1.0
50.5068843803,30.6329485405,other,,1.0
50.5099409878,30.6382007137,other,,1.0
50.5127873671,30.6410673492,other,,1.0
50.5283044511,30.6563799663,other,,1.0
50.5296467857,30.657058073,other,,1.0
50.529629,30.661164,other,,1.0
50.5297331961,30.6652604989,other,,1.0
50.529787681,30.6570773759,other,,1.0
50.5286881335,30.6562428683,other,,1.0
50.5128186924,30.6407545561,other,,1.0
50.5112024253,30.639053935,other,,1.0
50.5070384043,30.631893516,other,,1.0
